,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
70,00:07.8,-0.037841797,0.532958984,0.944091797,-111.9384766,-163.5742188,-23.4375
71,00:07.8,-0.011230469,0.462646484,1.051025391,-117.4926758,-158.203125,-11.23046875
72,00:07.8,-0.010009766,0.428222656,1.104736328,-118.1030273,-146.1181641,-1.586914063
73,00:07.8,-0.004394531,0.422851563,1.109619141,-115.9057617,-131.4086914,6.469726563
74,00:07.8,-0.018798828,0.420898438,1.101074219,-113.5864258,-118.5913086,14.28222656
75,00:07.8,-0.036376953,0.403808594,1.082763672,-111.0839844,-109.3139648,20.62988281
76,00:07.8,-0.003662109,0.376464844,1.069580078,-106.8115234,-104.7973633,24.04785156
77,00:07.8,0.0390625,0.353271484,1.089355469,-103.6987305,-106.262207,26.12304688
78,00:07.8,0.086181641,0.322753906,1.150390625,-103.6987305,-111.7553711,28.01513672
79,00:07.8,0.172363281,0.296386719,1.229736328,-103.6987305,-117.0043945,28.68652344
80,00:07.8,0.241943359,0.280029297,1.323242188,-103.2104492,-119.7509766,28.62548828
81,00:07.8,0.262695313,0.264160156,1.415039063,-103.2714844,-119.6289063,30.70068359
82,00:07.8,0.246337891,0.238769531,1.459716797,-103.3935547,-117.9199219,34.48486328
83,00:07.8,0.212402344,0.213134766,1.469482422,-103.2714844,-116.6381836,38.20800781
84,00:07.8,0.188232422,0.201660156,1.488037109,-101.5625,-115.1123047,39.61181641
85,00:07.8,0.186767578,0.211181641,1.504638672,-97.10693359,-108.7036133,37.90283203
86,00:07.8,0.166503906,0.226318359,1.463867188,-92.59033203,-97.47314453,35.15625
87,00:07.8,0.117431641,0.225585938,1.378173828,-89.72167969,-86.24267578,32.2265625
88,00:07.8,0.106689453,0.229980469,1.301025391,-87.34130859,-76.11083984,27.03857422
89,00:07.9,0.165283203,0.248291016,1.306152344,-86.85302734,-66.71142578,18.79882813
90,00:07.9,0.26953125,0.238037109,1.394287109,-90.08789063,-55.78613281,9.399414063
91,00:07.9,0.345703125,0.188476563,1.474609375,-95.82519531,-41.13769531,2.380371094
92,00:07.9,0.371337891,0.139404297,1.530273438,-99.24316406,-23.31542969,-1.586914063
93,00:07.9,0.372314453,0.123046875,1.550537109,-98.57177734,-5.310058594,-3.845214844
94,00:07.9,0.32421875,0.132080078,1.552001953,-96.06933594,11.16943359,-3.723144531
95,00:07.9,0.220458984,0.132080078,1.518066406,-92.71240234,13.671875,0.48828125
96,00:07.9,0.146728516,0.108886719,1.442382813,-89.29443359,2.990722656,2.319335938
97,00:07.9,0.143554688,0.061035156,1.374755859,-85.51025391,-11.41357422,-3.173828125
98,00:07.9,0.188720703,0.016845703,1.338378906,-78.91845703,-18.85986328,-12.63427734
99,00:07.9,0.231689453,0.009521484,1.294433594,-65.49072266,-19.34814453,-16.78466797
100,00:07.9,0.255126953,0.053466797,1.249267578,-45.71533203,-17.08984375,-14.28222656
101,00:07.9,0.286376953,0.115478516,1.228515625,-27.58789063,-14.58740234,-8.666992188
102,00:07.9,0.331054688,0.158691406,1.204101563,-16.35742188,-10.07080078,-3.173828125
103,00:07.9,0.355957031,0.1640625,1.175292969,-12.26806641,-3.112792969,0.48828125
104,00:07.9,0.369140625,0.140625,1.141601563,-12.51220703,5.249023438,3.295898438
105,00:07.9,0.381103516,0.107910156,1.116699219,-13.18359375,13.48876953,6.469726563
106,00:07.9,0.381103516,0.084472656,1.08203125,-13.06152344,18.98193359,10.19287109
107,00:07.9,0.367431641,0.073242188,1.051757813,-10.7421875,20.08056641,13.91601563
108,00:07.9,0.354003906,0.070556641,1.041015625,-8.850097656,17.51708984,16.54052734
109,00:07.9,0.333251953,0.062744141,1.032470703,-8.30078125,12.08496094,18.37158203
110,00:07.9,0.305175781,0.051757813,1.000732422,-7.8125,5.310058594,19.53125
111,00:07.9,0.298828125,0.043212891,0.975097656,-5.798339844,-2.258300781,19.83642578
112,00:07.9,0.320068359,0.048095703,0.970947266,-1.892089844,-9.948730469,19.10400391
113,00:07.9,0.338623047,0.052734375,0.970214844,2.624511719,-16.90673828,18.5546875
114,00:08.0,0.33203125,0.052734375,0.952636719,6.774902344,-22.70507813,19.10400391
115,00:08.0,0.32421875,0.054199219,0.923339844,9.887695313,-29.60205078,19.10400391
116,00:08.0,0.332519531,0.053955078,0.911132813,11.41357422,-38.87939453,17.94433594
117,00:08.0,0.351074219,0.052734375,0.903320313,12.63427734,-49.98779297,15.99121094
118,00:08.0,0.359130859,0.052246094,0.889892578,14.28222656,-60.85205078,14.6484375
119,00:08.0,0.354003906,0.052490234,0.883300781,16.23535156,-71.10595703,14.70947266
120,00:08.0,0.341796875,0.054443359,0.880859375,17.88330078,-81.17675781,15.68603516
121,00:08.0,0.33984375,0.055419922,0.877441406,19.10400391,-91.00341797,16.11328125
122,00:08.0,0.344970703,0.060791016,0.867431641,20.14160156,-102.1118164,14.70947266
123,00:08.0,0.33984375,0.068115234,0.858398438,21.11816406,-116.8823242,12.14599609
124,00:08.0,0.330078125,0.070068359,0.854980469,22.4609375,-134.8876953,11.35253906
125,00:08.0,0.332275391,0.075195313,0.859130859,24.4140625,-152.9541016,12.81738281
126,00:08.0,0.364257813,0.079345703,0.863769531,26.30615234,-168.3349609,15.25878906
127,00:08.0,0.419433594,0.080566406,0.867919922,27.52685547,-179.0161133,17.76123047
128,00:08.0,0.480712891,0.081054688,0.877197266,26.79443359,-183.1665039,20.69091797
